"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","L","M","S","UV","pctL","pctM","pctS","pctUV"
"opn1sw2","opn1sw2",121.501076687962,-2.68102667165687,6.48269773895195e-118,1.60193943827242e-113,0.256,0.615,3.85491250485091,9.91389434856209,303.188871596713,169.04662830172,25.5506607929515,37.984496124031,98.780487804878,60
"opn1lw1","opn1lw1",35.7788125439703,1.84437441361953,9.70434547617724e-103,2.39804081061816e-98,0.916,0.433,95.7374368610778,6.02988175618913,23.4295055308737,17.9184260277404,91.567023285085,37.2093023255814,47.5609756097561,65
"arr3b","arr3b",23.785034775639,-1.78832033798097,1.2315430961834e-64,3.04326614497879e-60,0.091,0.498,0.597785375728771,0.766422220476441,62.4161356810414,31.3597958253093,9.06230333543109,10.077519379845,100,100
"CT573282.1","CT573282.1",6.08546596163732,1.13908179816533,3.22907196859255e-62,7.97935974158905e-58,0.857,0.182,16.6224457494675,1.0744451914302,5.80091858060876,0.844054325042809,85.7142857142857,10.8527131782946,31.7073170731707,10
"opn1mw3","opn1mw3",17.5966976632716,-1.9190005641545,1.56789659668793e-60,3.87442928007556e-56,0.104,0.416,0.575541179056498,65.1877248004571,2.14294457750665,2.48058009606632,10.4468219005664,59.6899224806201,18.2926829268293,20
"efna1b","efna1b",10.4074231905793,-0.575957941311352,6.50444531227368e-55,1.60731348111595e-50,0.413,0.649,3.44354665422152,7.16318186078607,16.789506665115,14.2334575821944,41.2838263058527,55.0387596899225,80.4878048780488,65
"si:busm1-57f23.1","si:busm1-57f23.1",5.03925095044232,1.09631241076541,6.89452828130964e-45,1.70370688359442e-40,0.693,0.242,14.1516019104997,1.49044415463533,3.11511196929243,1.39984576734186,69.2888609188169,20.1550387596899,31.7073170731707,20
"opn1lw2","opn1lw2",18.2495597680236,1.56286101966008,7.90850096795411e-38,1.95426967419114e-33,0.662,0.329,48.8417552878539,3.49678926867211,13.4747986382924,7.18489587727608,66.2051604782882,26.3565891472868,45.1219512195122,25
"gngt2a","gngt2a",52.1542225910251,1.09154033458941,5.02970551459773e-27,1.24289052971224e-22,0.986,0.935,94.9970639696525,28.9039245276694,42.8200474881121,41.8958543786666,98.5525487728131,94.5736434108527,93.9024390243902,85
"es1","es1",104.199181869369,-0.335133925510706,9.1435622767452e-27,2.25946567420651e-22,0.928,0.983,66.3468546420144,117.310499448858,120.095022872184,113.044350514418,92.825676526117,99.2248062015504,98.780487804878,90
"thrb","thrb",1.52864319276104,0.678939320149191,1.05777981433007e-26,2.61387969919103e-22,0.576,0.082,4.89581706436118,0.429715162363731,0.789040544319233,0,57.5833857772184,6.97674418604651,12.1951219512195,0
"spock3","spock3",9.67039899288151,-0.260575750573621,3.85817144454445e-24,9.53392745661378e-20,0.61,0.74,5.56220364692567,8.36641958297083,13.6271584835311,11.1258142580984,61.0446821900566,67.4418604651163,85.3658536585366,70
"hexb","hexb",5.80794485461116,0.658514998975291,4.32427611423547e-23,1.06857187058873e-18,0.829,0.403,10.5071382844634,2.38121460001485,5.70817998077587,4.6352465531905,82.8823159219635,31.0077519379845,52.4390243902439,50
"kera","kera",12.6334806378712,-0.695527467318066,1.56435694727036e-22,3.86568245239979e-18,0.432,0.732,6.29174731211751,20.0826126975317,20.6447916499599,3.51477089187583,43.2347388294525,77.5193798449613,75.609756097561,35
"ptmab","ptmab",47.687559096964,-0.0384909606076538,6.69996667721374e-22,1.65562876560629e-17,0.993,0.991,40.5728312969968,57.6102389038236,45.8456903619146,46.7214758251208,99.3077407174324,100,98.780487804878,95
"si:dkey-126g1.9","si:dkey-126g1.9",6.77339214921508,-0.309286993654994,3.15460577010054e-21,7.79534631849545e-17,0.358,0.61,2.97083602065106,5.33728219323692,8.59702791468359,10.1884224682887,35.8086847073631,56.5891472868217,64.6341463414634,75
"si:dkey-28e7.3","si:dkey-28e7.3",3.11000271746201,-0.21965213954354,8.19099942257804e-20,2.02407786731326e-15,0.316,0.489,1.78231278517238,3.75426258362543,4.4942748497571,2.40916065129314,31.5921963499056,46.5116279069767,57.3170731707317,30
