"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","L","M","S","UV","pctL","pctM","pctS","pctUV"
"opn1lw1","opn1lw1",35.7788125439703,2.36770743621959,4.35171336724823e-101,1.07535189018071e-96,0.916,0.372,95.7374368610778,6.02988175618913,23.4295055308737,17.9184260277404,91.567023285085,37.2093023255814,47.5609756097561,65
"CT573282.1","CT573282.1",6.08546596163732,1.37025166035377,3.77229189658233e-59,9.32171050564459e-55,0.857,0.109,16.6224457494675,1.0744451914302,5.80091858060876,0.844054325042809,85.7142857142857,10.8527131782946,31.7073170731707,10
"opn1mw3","opn1mw3",17.5966976632716,-2.41904884367437,3.41242489804385e-56,8.43244316555615e-52,0.104,0.597,0.575541179056498,65.1877248004571,2.14294457750665,2.48058009606632,10.4468219005664,59.6899224806201,18.2926829268293,20
"opn1lw2","opn1lw2",18.2495597680236,1.99144887797605,6.34744898226952e-41,1.56851811800862e-36,0.662,0.264,48.8417552878539,3.49678926867211,13.4747986382924,7.18489587727608,66.2051604782882,26.3565891472868,45.1219512195122,25
"si:busm1-57f23.1","si:busm1-57f23.1",5.03925095044232,1.18261067355524,2.51575856785515e-34,6.21669099702686e-30,0.693,0.202,14.1516019104997,1.49044415463533,3.11511196929243,1.39984576734186,69.2888609188169,20.1550387596899,31.7073170731707,20
"gngt2a","gngt2a",52.1542225910251,1.26380573201516,4.71594970727458e-28,1.16535833216462e-23,0.986,0.946,94.9970639696525,28.9039245276694,42.8200474881121,41.8958543786666,98.5525487728131,94.5736434108527,93.9024390243902,85
"hexb","hexb",5.80794485461116,0.838762503267152,6.80694206783425e-26,1.68206345438252e-21,0.829,0.31,10.5071382844634,2.38121460001485,5.70817998077587,4.6352465531905,82.8823159219635,31.0077519379845,52.4390243902439,50
"thrb","thrb",1.52864319276104,0.698509416343288,4.12460912939054e-19,1.0192321619637e-14,0.576,0.07,4.89581706436118,0.429715162363731,0.789040544319233,0,57.5833857772184,6.97674418604651,12.1951219512195,0
"opn1mw1","opn1mw1",8.05443595089183,-1.59367066408867,3.8912374268277e-17,9.61563680543393e-13,0.055,0.636,0.803794817917607,29.94714542191,0.275888243422727,1.19091532031701,5.53807426054122,63.5658914728682,4.8780487804878,10
"ptmab","ptmab",47.687559096964,-0.0929253115400104,8.79294323384873e-13,2.17282420251636e-08,0.993,1,40.5728312969968,57.6102389038236,45.8456903619146,46.7214758251208,99.3077407174324,100,98.780487804878,95
"es1","es1",104.199181869369,-0.309409665537379,6.42036012148809e-12,1.58653518962092e-07,0.928,0.992,66.3468546420144,117.310499448858,120.095022872184,113.044350514418,92.825676526117,99.2248062015504,98.780487804878,90
"efna1b","efna1b",10.4074231905793,-0.23627049691232,5.88931357453958e-10,1.45530827740447e-05,0.413,0.55,3.44354665422152,7.16318186078607,16.789506665115,14.2334575821944,41.2838263058527,55.0387596899225,80.4878048780488,65
"kera","kera",12.6334806378712,-0.60246855569859,4.26374807027584e-09,0.000105361478564586,0.432,0.775,6.29174731211751,20.0826126975317,20.6447916499599,3.51477089187583,43.2347388294525,77.5193798449613,75.609756097561,35
"si:dkey-28e7.3","si:dkey-28e7.3",3.11000271746201,-0.1853376305316,4.27448696656662e-09,0.000105626847430828,0.316,0.465,1.78231278517238,3.75426258362543,4.4942748497571,2.40916065129314,31.5921963499056,46.5116279069767,57.3170731707317,30
"calm1a","calm1a",9.95984490681546,-0.0865887676623331,2.98277220547346e-07,0.00737072839694546,0.748,0.798,8.21263519483244,12.282363257304,9.20502141355142,10.139359761574,74.7640025173065,79.8449612403101,78.0487804878049,80
"rx1","rx1",3.95494241060436,-0.165073836064806,1.08169920833106e-06,0.0267298691370688,0.315,0.481,1.98881028335173,3.75490363632353,3.4186813242758,6.65737439846639,31.529263687854,48.062015503876,43.9024390243902,70
"si:ch73-28h20.1","si:ch73-28h20.1",8.48901201660161,-0.147437967343224,1.65780117685475e-06,0.0409659248812578,0.47,0.628,4.2403612982545,7.12657395339373,6.95645278585022,15.632660028908,47.0106985525488,62.7906976744186,51.219512195122,95
"leo1","leo1",2.78613751213596,0.414436025683472,7.5686935419324e-06,0.187029986114692,0.549,0.326,5.14368064417989,2.2547500930781,2.10677991455295,1.63933939673289,54.940213971051,32.5581395348837,31.7073170731707,20
"spock3","spock3",9.67039899288151,-0.100819893392385,1.26365179516101e-05,0.312260995102238,0.61,0.674,5.56220364692567,8.36641958297083,13.6271584835311,11.1258142580984,61.0446821900566,67.4418604651163,85.3658536585366,70
"opn1sw2","opn1sw2",121.501076687962,-0.307787306403985,1.46112377677579e-05,0.361058296479066,0.256,0.38,3.85491250485091,9.91389434856209,303.188871596713,169.04662830172,25.5506607929515,37.984496124031,98.780487804878,60
"rho","rho",89.4449676813053,0.0322878085382974,1.94364050670596e-05,0.48029300561211,0.979,0.984,66.7911232023944,85.0890331511987,95.0444874128697,110.855226958758,97.8602894902454,98.4496124031008,98.780487804878,100
"gngt1","gngt1",29.4624060356712,0.0140265800739827,3.62603277171724e-05,0.896028958219047,0.937,0.938,23.2392675792434,29.0180438053452,30.3591290207306,35.2331837373658,93.7067337948395,93.7984496124031,97.5609756097561,90
"guk1b","guk1b",16.5060119174795,0.531518634362608,3.69692415607543e-05,0.9135469282078,0.944,0.899,21.5908888926747,14.2980475505729,14.8583093667062,15.2768018599642,94.3989930774072,89.922480620155,78.0487804878049,90
