"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","L","M1","M3","M4","S","UV","pctL","pctM1","pctM3","pctM4","pctS","pctUV"
"opn1mw3","opn1mw3",20.465824822063,-2.97798850634875,9.52101448296146e-69,2.35273788888461e-64,0.071,1,0.575541179056498,0.629985061104294,114.711470353933,2.25442766471126,2.14294457750665,2.48058009606632,10.4468219005664,7.14285714285714,100,28.5714285714286,18.2926829268293,20
"opn1mw1","opn1mw1",11.5872622599022,1.56208658605865,4.59224696963612e-12,1.13479014866678e-07,0.911,0.425,0.803794817917607,59.2538718608234,7.46527308520927,0.533830231723364,0.275888243422727,1.19091532031701,5.53807426054122,91.0714285714286,42.4657534246575,8.57142857142857,4.8780487804878,10
"ncaldb","ncaldb",17.6153292372757,-0.871725751075066,1.20829839912876e-06,0.0298582617408709,0.804,0.795,27.1635352821457,10.4924141301978,24.8595869469485,6.67548998789308,30.6147804288969,5.88616864757198,82.1900566393958,80.3571428571429,79.4520547945205,60,74.390243902439,60
"si:ch1073-469d17.2","si:ch1073-469d17.2",7.03011126661242,-0.627242773914905,3.38859407814031e-06,0.0837355482649251,0.5,0.685,10.3491598712661,4.15760805762898,10.4119577551414,3.81393346943899,9.13464578869956,4.31336265749953,70.1699181875393,50,68.4931506849315,48.5714285714286,67.0731707317073,60
"arg2","arg2",11.0401476123919,-0.649678090281493,8.51896234571516e-06,0.210512078524967,0.679,0.781,12.9798988949417,8.31479124942611,16.7338478513668,5.3828512674232,14.8558653990034,7.97363101219026,77.1554436752675,67.8571428571429,78.0821917808219,67.1428571428571,71.9512195121951,65
"atp1b2b","atp1b2b",10.6800938713945,-0.522655406521552,1.4108564933731e-05,0.348636748077427,0.768,0.863,10.8402738477471,8.28196487044961,15.0808158917248,7.20486142949708,15.1521042297062,7.52054295924227,77.9735682819383,76.7857142857143,86.3013698630137,72.8571428571428,80.4878048780488,70
"rbp4l","rbp4l",172.49279818903,-0.594770256361928,2.68115585283693e-05,0.662540422794533,1,1,193.450648567479,134.367728049386,202.107585300629,117.302367094425,215.762744852204,171.965715270056,99.8112020138452,100,100,100,100,100
"prph2a","prph2a",11.0757335176213,-0.515637489464689,4.48202202697011e-05,1,0.768,0.74,11.9151984002771,8.9173620076982,16.4295788461249,6.08785533227583,15.3796035732726,7.7248029460792,82.2529893014475,76.7857142857143,73.972602739726,65.7142857142857,84.1463414634146,80
"guca1c","guca1c",23.6427459501682,-0.48406130411125,0.000135432867846994,1,0.946,0.959,28.7204555823515,22.204603473806,33.3066635347917,17.5962198065747,25.8614116515628,14.1671216519227,94.0843297671492,94.6428571428571,95.8904109589041,87.1428571428571,89.0243902439024,80
"slc38a5a","slc38a5a",2.90508280869683,-0.442428167598803,0.000257105516505658,1,0.196,0.438,3.61285855248825,1.31007649333282,4.59603249905465,2.26152788929358,4.84256216323999,0.807439254771676,42.5424795468848,19.6428571428571,43.8356164383562,30,52.4390243902439,10
"slc1a2a","slc1a2a",4.24849240591859,-0.517651588836391,0.000272159875136078,1,0.375,0.438,5.92173710507021,2.67324150650022,7.23443333554274,3.04222971368687,5.31404458638664,1.30526818832486,44.8709880427942,37.5,43.8356164383562,44.2857142857143,46.3414634146341,15
"lrit1b","lrit1b",3.84530875536206,-0.421608539816413,0.000292505644374315,1,0.321,0.548,5.21094303357243,2.38005278487122,5.43530910327758,3.90893823995596,4.09263404472515,2.04397532576999,59.9748269351794,32.1428571428571,54.7945205479452,54.2857142857143,51.219512195122,20
"grk1b","grk1b",4.7889453658153,0.395560638810677,0.000307453434124953,1,0.732,0.452,4.09279422866333,9.04941159292383,4.31715950686809,3.916638831777,3.27922810355962,4.07843993109996,46.6331025802391,73.2142857142857,45.2054794520548,51.4285714285714,47.5609756097561,50
"osbpl7","osbpl7",2.95683883934332,-0.363500909009132,0.000644212551105039,1,0.268,0.493,3.50053169703904,1.54671991447541,4.62311122235237,2.65395389809598,2.78859730328311,2.62811900081403,49.2133417243549,26.7857142857143,49.3150684931507,40,41.4634146341463,30
"ndrg1b","ndrg1b",9.74838864742307,0.515610819623269,0.000869002031807397,1,0.696,0.425,11.5784425269764,12.812980738243,5.19241205587779,6.44453958776334,9.91747381343155,12.5444831622464,59.0937696664569,69.6428571428571,42.4657534246575,54.2857142857143,64.6341463414634,70
"slc24a2","slc24a2",9.85738116476035,-0.383766606468715,0.000994411487863627,1,0.696,0.781,10.8734299967587,7.4107866426606,11.7824046613817,8.60215089940954,13.0713400757274,7.40417471262415,79.2322215229704,69.6428571428571,78.0821917808219,78.5714285714286,80.4878048780488,65
"grk7a","grk7a",5.19703295128999,-0.354767229040378,0.00199337166343912,1,0.464,0.589,6.54690395653353,4.16329285843228,6.39628918041494,4.7875555897814,6.49435400093574,2.79380212164202,67.0862177470107,46.4285714285714,58.9041095890411,57.1428571428571,59.7560975609756,30
"gngt2a","gngt2a",50.3825348845468,-0.429792278974118,0.00204193456744945,1,0.929,0.959,94.9970639696525,23.1902907256505,33.2869860744237,66.1049666707758,42.8200474881121,41.8958543786666,98.5525487728131,92.8571428571429,95.8904109589041,97.1428571428571,93.9024390243902,85
"si:ch211-81a5.8","si:ch211-81a5.8",5.89003718459575,-0.523349609951028,0.00210474744416929,1,0.268,0.384,9.65564367454182,2.53209933121784,6.55946226683629,4.12295726890147,11.1741909094117,1.29586965666539,49.4021397105098,26.7857142857143,38.3561643835616,25.7142857142857,56.0975609756098,20
"fstl5","fstl5",3.0325668742288,-0.311967258893949,0.00223528141983327,1,0.214,0.534,3.00105768263822,1.86353715108009,4.29043746982742,2.52620731409757,3.72876765048399,2.78539397724548,44.5563247325362,21.4285714285714,53.4246575342466,34.2857142857143,47.5609756097561,40
"cngb3.1","cngb3.1",2.06369428756821,-0.386881357653196,0.00262328409636496,1,0.107,0.397,3.81131143415457,0.537310494738051,3.03718939991213,2.5701151009643,2.14698768994351,0.279251605696733,42.9830081812461,10.7142857142857,39.7260273972603,24.2857142857143,29.2682926829268,5
"usp21","usp21",2.07226383789257,-0.420196252685677,0.00318167707678944,1,0.143,0.342,2.88737562059685,0.856486034818907,3.18524098171432,2.35459872001237,2.28255435725669,0.867327312956282,38.5147891755821,14.2857142857143,34.2465753424658,35.7142857142857,31.7073170731707,15
"spock3","spock3",8.59754102391284,-0.366345861141363,0.00339808052401349,1,0.625,0.712,5.56220364692567,6.68978038495915,9.65260855678802,4.92768081317465,13.6271584835311,11.1258142580984,61.0446821900566,62.5,71.2328767123288,58.5714285714286,85.3658536585366,70
"arr3a","arr3a",31.0242562941333,-0.411372377661492,0.00339925193742414,1,0.946,0.918,53.6793538220659,32.5667996157056,43.1961252687286,37.1546350343565,13.8969773959283,5.65164662801467,96.8533668974198,94.6428571428571,91.7808219178082,91.4285714285714,58.5365853658537,40
"higd1a","higd1a",4.22090651399931,-0.353004244203789,0.00362208173749798,1,0.339,0.507,4.0508293969641,2.91941559280626,4.94794994742886,2.83994046221921,7.2502343819569,3.31706930262052,48.7098804279421,33.9285714285714,50.6849315068493,44.2857142857143,59.7560975609756,45
"cnga3a","cnga3a",10.1918126372376,-0.369390703065196,0.00391299053775132,1,0.786,0.822,12.2453386842026,11.2497750576305,15.0606503216835,3.61533953696757,13.1080443916369,5.87172783130428,70.9880427942102,78.5714285714286,82.1917808219178,42.8571428571429,64.6341463414634,70
"rcvrn3","rcvrn3",3.3553392351689,-0.332119308267964,0.00467815267271864,1,0.321,0.438,5.65590295102046,2.44551778515274,5.18943055247498,3.86359254399707,2.65555059857709,0.322040979791088,54.6884833228446,32.1428571428571,43.8356164383562,54.2857142857143,30.4878048780488,10
"hmgb1a","hmgb1a",2.64848588164214,-0.333423453771854,0.00484979030952773,1,0.232,0.411,2.69195796856707,1.39936034637993,3.57436514635508,1.78207216766254,5.27625636197411,1.16690329891411,36.3750786658276,23.2142857142857,41.0958904109589,28.5714285714286,50,15
"unc119b","unc119b",8.1162795173499,-0.312355031147241,0.00488596727862984,1,0.625,0.74,9.69148494197962,6.48966230641177,9.28572426887874,6.29835412003338,9.12963900082093,7.80281246597498,78.1623662680931,62.5,73.972602739726,68.5714285714286,67.0731707317073,70
"hmgb2a","hmgb2a",10.3817117441549,-0.275611403630891,0.00657906876371785,1,0.732,0.795,10.0012731091637,8.29061488429018,12.0305814545116,7.8743215930052,14.0671895506611,10.0262898732973,81.6236626809314,73.2142857142857,79.4520547945205,74.2857142857143,85.3658536585366,80
"ppdpfa","ppdpfa",22.9520082869417,-0.338427271457016,0.00736355395409609,1,0.893,0.877,28.1846504563821,19.4454164753308,25.740742659696,16.2953792824362,34.1309755231945,13.9148853246104,93.7067337948395,89.2857142857143,87.6712328767123,91.4285714285714,97.5609756097561,80
