"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","Ribo","L","M1","M3","M4","S","UV","pctRibo","pctL","pctM1","pctM3","pctM4","pctS","pctUV"
"hsp90aa1.2","hsp90aa1.2",33.3748672607644,2.62066691638869,2.30970977835409e-244,5.7075238332908e-240,0.979,0.713,188.580030928773,7.91621820361572,8.11985528385525,7.22763377072992,7.40482169301798,4.66188074795764,9.7136301974013,97.8723404255319,72.2466960352423,57.1428571428571,72.6027397260274,71.4285714285714,58.5365853658537,80
"rps26l","rps26l",7.35099279157593,1.68204869614553,3.05850986133692e-238,7.55788371834967e-234,1,0.386,36.2882098536552,2.33392804558423,2.78356649997207,2.17211843660842,2.99206831300308,3.00896299431857,1.87809539788995,100,39.1441157960982,32.1428571428571,31.5068493150685,41.4285714285714,40.2439024390244,25
"rpl37.1","rpl37.1",15.1732945016426,1.64564867030464,5.11600972071004e-220,1.26421716208466e-215,1,0.727,61.4692574421185,6.82320731204726,7.70945987488896,7.88605266504213,7.00019611279177,7.25349576643551,8.07139233817376,100,72.6242920075519,76.7857142857143,64.3835616438356,74.2857142857143,75.609756097561,80
"rplp2l","rplp2l",11.3153720324865,1.67731104181407,1.82418431341091e-214,4.5077418568697e-210,1,0.598,47.934368517852,4.55626762765804,5.45924082431277,4.91178505908459,3.90975222033454,6.01799430544308,6.41819567272036,100,60.5412208936438,53.5714285714286,52.0547945205479,50,62.1951219512195,75
"RPL41","RPL41",39.3579620443717,1.65379940559621,5.81517841269614e-208,1.43698873756134e-203,1,0.959,143.133453123563,20.6573145082298,23.8636207333113,19.716415280464,21.5818715349048,24.6008283236266,21.9522308065025,100,95.8464443045941,98.2142857142857,93.1506849315068,100,92.6829268292683,100
"rpl36a","rpl36a",12.1008323402173,1.73299079233412,4.8974052917873e-207,1.21019782165356e-202,1,0.576,53.7318930562354,4.40035539665682,4.32091730269364,4.40731601807019,5.9997234791872,5.85203722718668,5.99358390149081,100,57.2057898049087,50,57.5342465753425,64.2857142857143,63.4146341463415,60
"rpl13","rpl13",8.82662957993096,1.60720486172964,1.9405012572784e-203,4.79517265686065e-199,0.979,0.493,38.1463199265195,3.31100721222732,3.06829778478183,3.30290706540275,4.21574138254502,3.83774581528553,5.9043878727547,97.8723404255319,49.3392070484581,35.7142857142857,42.4657534246575,57.1428571428571,53.6585365853659,60
"rps12","rps12",13.9175384206972,1.60647383720075,6.34412347384808e-203,1.5676963516226e-198,1,0.705,52.5253391181265,6.16753485957274,7.072703785938,8.25871807115193,6.85632136447314,5.81528015804173,10.7268715875763,100,71.2397734424166,66.0714285714286,67.1232876712329,67.1428571428571,62.1951219512195,80
"rps27.1","rps27.1",13.4860229509368,1.5020328631586,2.18227789158849e-202,5.39262689790433e-198,1,0.732,52.8614170231775,6.77517955886325,7.50712968864616,6.46774187657857,6.61780851094945,7.53914467812772,6.63373932021509,100,74.0717432347388,67.8571428571429,67.1232876712329,71.4285714285714,70.7317073170732,60
"rpl12","rpl12",6.81400447000635,1.48461615259285,8.05320230268317e-200,1.99002682101604e-195,1,0.432,30.6735913353749,2.57117951794371,2.73173629151817,2.10905783011476,3.4248550916641,3.83539920608405,2.35221201734475,100,43.3606041535557,37.5,32.8767123287671,47.1428571428571,51.219512195122,40
"rpl17","rpl17",8.69950050596007,1.53740976126062,6.07127828694724e-198,1.50027357748753e-193,1,0.526,37.257471516554,3.5973498970906,4.13556807797603,3.87416193380177,3.70929719987322,4.96074009498776,3.36191482143713,100,52.6117054751416,46.4285714285714,50.6849315068493,54.2857142857143,59.7560975609756,45
"uba52","uba52",5.6733104883061,1.52290693552459,7.65385417108117e-198,1.89134390421587e-193,1,0.34,28.0071579743679,1.90263054941522,3.12715230986347,2.11955896990482,1.30580928607573,2.27718447835984,0.973679850155676,100,34.235368156073,42.8571428571429,34.2465753424658,22.8571428571429,36.5853658536585,15
"rps27a","rps27a",9.45766996267275,1.52807237782376,8.14375057508023e-195,2.01240220460808e-190,1,0.578,39.1232190203212,4.33350796670161,3.96624393457682,3.5125214795454,3.83449186903757,5.76817408832911,5.66553138019753,100,58.4015103838892,48.2142857142857,45.2054794520548,54.2857142857143,67.0731707317073,60
"rpl19","rpl19",15.7275362868337,1.50307494954193,6.45025813271911e-190,1.59392328717622e-185,1,0.761,57.1354577699858,7.40436826212285,10.4346817737798,7.39900581295357,8.36585917080649,9.84083945088271,9.51254176730477,100,76.0855884203902,82.1428571428571,71.2328767123288,78.5714285714286,76.8292682926829,70
"rpl23","rpl23",11.6803395658759,1.62038507456542,7.64759389420205e-189,1.88979692719627e-184,1,0.631,48.3765331216683,5.03849291342675,6.14192047481756,7.66438088210316,5.58540951733886,5.82447227326531,3.13116777851169,100,63.1214600377596,60.7142857142857,69.8630136986301,61.4285714285714,63.4146341463415,45
"rps23","rps23",7.48996254164312,1.60175793120799,1.28370091684673e-187,3.17215333561995e-183,1,0.413,35.0598159075647,2.62728022573723,2.22144537373567,3.7140450645146,2.85460931922402,3.00892419496873,2.94361770575692,100,41.4726242920076,35.7142857142857,43.8356164383562,35.7142857142857,45.1219512195122,40
"rps10","rps10",6.80035164981127,1.43631429150276,5.12032031656652e-182,1.26528235342675e-177,0.979,0.424,28.5554584870585,2.5618787070555,3.7094573487987,2.90825757618596,2.36912967358689,3.25703062713664,4.24124912885671,97.8723404255319,42.2907488986784,51.7857142857143,36.986301369863,38.5714285714286,42.6829268292683,55
"rpl21","rpl21",9.49000963421253,1.45577041639946,1.89309668103925e-181,4.6780312085161e-177,1,0.583,37.3146699718571,4.36283714568797,6.02813425495892,3.74986826010768,3.81871208216302,5.10941638944039,6.04642933527267,100,58.7791063561989,58.9285714285714,43.8356164383562,51.4285714285714,65.8536585365854,60
"rps29","rps29",11.3987265291718,1.70303197054831,6.74696496953106e-180,1.66724251362082e-175,1,0.592,51.4864210882228,4.62549122677506,4.92580764111698,3.80119078295265,3.84831101530925,6.72747887743185,4.37638507239406,100,59.7230962869729,57.1428571428571,45.2054794520548,57.1428571428571,68.2926829268293,40
"rpl14","rpl14",4.73117999085123,1.37468894120127,1.51763239568611e-178,3.75022141297994e-174,0.957,0.321,23.2839710773712,1.71950015607344,1.58594116026328,1.99046791628102,2.06304246595971,1.78710069844529,0.688236461564622,95.7446808510638,32.4103209565765,25,32.8767123287671,37.1428571428571,30.4878048780488,10
"rps14","rps14",8.28881784222581,1.48433312785891,2.54403438870802e-178,6.28656337793639e-174,0.957,0.52,34.5988387266893,3.53583109971489,4.5286699083665,3.17454415479141,3.70349092439605,3.65513896199654,4.82521111962596,95.7446808510638,52.7375707992448,55.3571428571429,42.4657534246575,45.7142857142857,47.5609756097561,60
"rps15","rps15",9.35142238927168,1.36283926117432,2.43410769515907e-172,6.01492352550758e-168,1,0.613,34.8235905235221,4.77642660630439,4.93938606212322,4.97259657224655,4.68049272757393,5.31670646486108,5.95075776827047,100,62.4292007551919,48.2142857142857,54.7945205479452,55.7142857142857,58.5365853658537,65
"rplp1","rplp1",25.9060905454224,1.44000368707203,6.03443317222325e-170,1.49116878118809e-165,1,0.911,85.3610193851033,14.4540726804229,17.385274582548,14.0099775379243,16.7575403077342,17.7019121704356,15.6728371537889,100,91.3152926368785,85.7142857142857,91.7808219178082,95.7142857142857,87.8048780487805,80
"rpl18","rpl18",12.3425096029221,1.46274051337482,2.32440874550107e-169,5.7438464510077e-165,1,0.675,44.6622240411286,5.73300403409777,7.55046026050386,4.88284314969299,7.49893367950321,7.15111762921967,8.91898442630833,100,67.2750157331655,66.0714285714286,60.2739726027397,75.7142857142857,69.5121951219512,75
"rpl39","rpl39",17.0346226499994,1.61167243032683,1.29069251855467e-168,3.18943028260045e-164,1,0.769,67.1889107794714,8.46332112397748,6.99037563296031,7.67727449814303,8.42739712531277,10.877727479635,9.61735191049605,100,77.2183763373191,66.0714285714286,65.7534246575342,74.2857142857143,89.0243902439024,80
"rps15a","rps15a",15.2345119163593,1.40164974920309,4.64406978394828e-168,1.14759608431146e-163,1,0.764,49.9785564920777,7.41223832704017,9.52148283541589,8.67612966244981,7.66104274158391,10.4406277271619,12.9515056287854,100,75.8967904342354,80.3571428571429,75.3424657534247,72.8571428571428,84.1463414634146,90
"rpl26","rpl26",15.8997217221949,1.34044425004865,2.31034441249044e-167,5.70909207770512e-163,1,0.807,52.1007232230536,9.0808975544776,10.5261377209959,9.50177214073568,8.23975867123088,10.755867073094,11.0928956717768,100,80.9314033983638,82.1428571428571,82.1917808219178,70,82.9268292682927,80
"rps18","rps18",10.6387990079702,1.4145334299786,3.2311967844803e-166,7.98461037412927e-162,1,0.648,39.3923256170639,5.02072802233665,6.39019386247567,5.37108189207997,4.90486196559888,7.85011322256954,5.5422884736667,100,65.1982378854625,64.2857142857143,56.1643835616438,64.2857142857143,67.0731707317073,60
"rpl24","rpl24",8.9206571112575,1.33333050522561,1.67848573827975e-165,4.14770610786309e-161,1,0.607,33.0462418578461,4.49805313272459,5.57725328881183,5.22571792126997,3.8972980054161,5.6713937456113,4.52864182712259,100,61.3593455003147,57.1428571428571,61.6438356164384,47.1428571428571,63.4146341463415,55
"rpl9","rpl9",8.97637982533397,1.37253103898407,3.11913174143188e-165,7.70768644625231e-161,1,0.59,34.4569755041381,4.5235260180839,4.32162059354527,4.69556803959642,4.45238732112792,5.15508576284906,5.22949553799713,100,59.4713656387665,53.5714285714286,60.2739726027397,58.5714285714286,56.0975609756098,50
"rpl10a","rpl10a",8.7427889186766,1.45886566570255,6.53339960983981e-165,1.61446837758751e-160,1,0.54,35.0537512669531,3.77663457666569,4.57753006996168,3.85346764287156,3.46588315912301,4.73929419026646,5.73296152489467,100,54.7514159848962,58.9285714285714,42.4657534246575,48.5714285714286,51.219512195122,50
"rpl30","rpl30",8.4385433834409,1.45653548414092,3.45874217011006e-164,8.54689777655897e-160,1,0.524,34.3967273934095,3.6616363389423,3.04935186059367,4.314083678283,3.94861379537385,4.78909628104033,4.91029433644367,100,52.9263687853996,35.7142857142857,49.3150684931507,47.1428571428571,59.7560975609756,55
"rps3","rps3",5.76748210730356,1.35776954883118,4.93985225316041e-164,1.22068689027847e-159,0.979,0.398,23.9019969666442,2.34378028213478,2.52457905929797,2.55819226318078,2.34688939454164,3.44894478695935,3.24799199836619,97.8723404255319,39.5217117684078,41.0714285714286,34.2465753424658,40,45.1219512195122,55
"rps21","rps21",10.6452482454246,1.47267952530036,4.28390005611149e-163,1.05859454286571e-158,1,0.614,41.2642350985374,4.83707555432935,5.86833740536248,5.15415623276058,4.72374035246925,7.06382529711911,5.60536777739399,100,61.2334801762115,64.2857142857143,65.7534246575342,48.5714285714286,73.1707317073171,45
"faua","faua",9.5769198369541,1.53924613262478,5.27836699102012e-163,1.30433726715098e-158,1,0.552,39.2934980557999,4.14687467305326,3.9307574761369,5.37657030992762,3.32429676366137,5.05497548526472,5.91146609483493,100,55.4436752674638,44.6428571428571,53.4246575342466,47.1428571428571,62.1951219512195,70
"rpl10","rpl10",8.06030244464169,1.487421853717,7.90233017406409e-163,1.95274480931298e-158,1,0.503,32.5726719233111,3.47389521917314,4.2090175793298,3.85656640767665,3.44598167794963,3.05307289487885,5.81091141017264,100,50.9754562617999,53.5714285714286,49.3150684931507,47.1428571428571,40.2439024390244,45
"rps11","rps11",6.64305701605055,1.35206857459295,1.6710581426365e-161,4.12935177626906e-157,0.979,0.477,27.677710127062,3.15769720858964,2.54721357262081,2.40771919046507,3.08771145807564,4.20607024553212,3.41727731000862,97.8723404255319,48.3322844556325,35.7142857142857,38.3561643835616,44.2857142857143,54.8780487804878,45
"rpl31","rpl31",4.9313099208135,1.39987324768698,5.53706605895183e-160,1.36826439382759e-155,1,0.315,23.6192434453267,1.7929276790186,1.59547584485322,1.6345731622144,1.54898911346809,2.37256808621086,1.95539211460269,100,32.15859030837,25,24.6575342465753,21.4285714285714,40.2439024390244,25
"rpl32","rpl32",18.7553508063573,1.29676283052309,1.07670061202936e-158,2.66063488238575e-154,1,0.851,57.194434190195,10.2891542872694,12.861096474923,9.12303789698037,12.0302346676198,13.2868889548417,16.5026091726716,100,85.5884203901825,78.5714285714286,75.3424657534247,85.7142857142857,87.8048780487805,85
"pde6h","pde6h",1164.38933987196,-5.1532616218799,1.7554694033467e-156,4.33794044261002e-152,0.319,1,4.8485593678901,1468.68790493,1657.27058250975,1530.63571115989,1254.0849493925,1257.49792340511,977.699748338585,31.9148936170213,100,100,100,100,100,100
"rpl28","rpl28",9.08640746667362,1.42577251967731,8.23547210574898e-155,2.03506751205163e-150,1,0.551,36.6129392838532,4.16648358648642,4.73654993459432,3.89998962148249,4.5502426329149,4.65364947510061,4.98499773228343,100,55.3178099433606,53.5714285714286,47.945205479452,55.7142857142857,54.8780487804878,65
"rps13","rps13",6.90506180926982,1.37465517363308,5.19645528988859e-154,1.28409606668437e-149,0.979,0.471,27.8133071970074,3.15083802476284,3.4953207610095,3.09447689186378,2.73144616340506,3.96440853547776,4.08563509136243,97.8723404255319,47.5770925110132,42.8571428571429,39.7260273972603,37.1428571428571,54.8780487804878,50
"rps20","rps20",20.9102348687527,1.36548664583881,3.06563419816953e-153,7.57548866709673e-149,1,0.847,63.0481800321032,10.6966805618071,14.2913477817418,11.2138030893897,12.0339065151163,16.5631920077566,18.524534093354,100,84.2039018250472,82.1428571428571,79.4520547945205,91.4285714285714,92.6829268292683,95
"rps28","rps28",11.6994838282507,1.41162620369946,9.96418695928277e-153,2.46225023950836e-148,0.979,0.679,43.073288702779,6.07191883244026,5.65705919714609,6.8641336068804,6.39807110556763,6.87202353293843,6.9598918200028,97.8723404255319,68.470736312146,60.7142857142857,65.7534246575342,65.7142857142857,65.8536585365854,70
"rpl15","rpl15",9.56389443539285,1.40728298459647,2.0826694372157e-152,5.14648444630372e-148,1,0.593,36.009355872593,4.57265794241666,4.95044708495004,4.19387121141973,5.16377440088591,5.7141849271889,6.34296960829571,100,59.8489616110761,58.9285714285714,45.2054794520548,60,58.5365853658537,65
"rpl13a","rpl13a",6.27833601393745,1.36779264740462,8.63967522303314e-151,2.13495014436372e-146,1,0.444,27.0586049286008,2.9261200499808,2.3120913823503,2.72573165274099,2.06821039707253,2.88873586115048,3.9688578256662,100,45.5632473253619,33.9285714285714,36.986301369863,34.2857142857143,46.3414634146341,35
"rps3a","rps3a",6.74084221368324,1.34486800356952,6.57485322296368e-150,1.62471197992655e-145,0.979,0.461,26.8931228430592,2.96539777539134,3.30080995588572,2.22194562879347,2.7558390376768,4.85142288759014,4.19735736738598,97.8723404255319,46.3184392699811,39.2857142857143,34.2465753424658,45.7142857142857,56.0975609756098,50
"rpl11","rpl11",14.9164280821365,1.24907783349498,7.25568915181808e-150,1.79295334630577e-145,1,0.795,44.3076785246771,8.36910919600199,11.9238435657398,8.39325354217716,8.62651748693097,9.34276179464666,13.4518324647819,100,79.2322215229704,89.2857142857143,72.6027397260274,81.4285714285714,78.0487804878049,100
"rpl35a","rpl35a",10.6866819734401,1.4653219682844,2.23895033318523e-145,5.53267016833403e-141,1,0.619,41.3774682243466,4.96728537336915,6.01129786434479,4.73152149158667,4.96635694541788,6.92683420625942,5.82600970875642,100,62.0516047828823,69.6428571428571,50.6849315068493,60,67.0731707317073,55
"rps19","rps19",16.8713805571191,1.24042458555247,1.5454173743688e-144,3.81888087380275e-140,1,0.811,48.4039819340829,9.04771286073859,11.3900146232993,10.5735515186842,10.9115658087713,13.0561384534372,14.7166987008202,100,81.1202013845186,75,76.7123287671233,84.2857142857143,86.5853658536585,80
"rplp0","rplp0",8.90408295466839,1.36884653582445,1.09543884044387e-143,2.70693891862086e-139,0.979,0.575,32.8540627434685,4.24558834298486,4.37770104344416,5.63837850323666,5.20068612699372,5.17208207767438,4.8400818448765,97.8723404255319,57.5204531151668,46.4285714285714,57.5342465753425,64.2857142857143,58.5365853658537,60
"rpl7","rpl7",10.6558680030879,1.28454914964984,4.96110788187955e-143,1.22593936869126e-138,1,0.69,36.927017687516,6.28132012329937,5.83454659771583,5.59301749004026,6.03268538799032,6.73015713452283,7.19233160053081,100,69.7293895531781,58.9285714285714,61.6438356164384,65.7142857142857,70.7317073170732,70
"rpl35","rpl35",10.207950064982,1.30189558582876,2.52571169132118e-140,6.24128616042376e-136,1,0.627,36.0060133409795,5.03777939171569,5.6336527399923,5.7606035306499,5.30204829422624,6.86031578600395,6.85523737130621,100,62.6179987413468,57.1428571428571,64.3835616438356,61.4285714285714,65.8536585365854,70
"rpl38","rpl38",6.98642743982338,1.31027972938197,1.4117087580147e-139,3.48847351193013e-135,0.957,0.479,26.9461235974692,3.06847459203163,2.04967268027721,3.12078424838258,4.41249879506762,4.8815645107656,4.42587365476984,95.7446808510638,47.9546884833228,33.9285714285714,42.4657534246575,50,59.7560975609756,50
