"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","L","M","S","UV","pctL","pctM","pctS","pctUV"
"opn1sw2","opn1sw2",121.501076687962,3.41474258286744,4.15752923849438e-48,1.02736705012435e-43,0.988,0.269,3.85491250485091,9.91389434856209,303.188871596713,169.04662830172,25.5506607929515,37.984496124031,98.780487804878,60
"arr3b","arr3b",23.785034775639,2.58790742463781,6.77015765743096e-47,1.67297365872776e-42,1,0.102,0.597785375728771,0.766422220476441,62.4161356810414,31.3597958253093,9.06230333543109,10.077519379845,100,100
"efna1b","efna1b",10.4074231905793,0.907122399042916,9.60106632627591e-45,2.37251949988604e-40,0.805,0.426,3.44354665422152,7.16318186078607,16.789506665115,14.2334575821944,41.2838263058527,55.0387596899225,80.4878048780488,65
"spock3","spock3",9.67039899288151,0.483256048499046,2.91853851187002e-22,7.21200051668202e-18,0.854,0.616,5.56220364692567,8.36641958297083,13.6271584835311,11.1258142580984,61.0446821900566,67.4418604651163,85.3658536585366,70
"arr3a","arr3a",27.9524555527749,-1.1414829515271,3.67292806007784e-22,9.07617252925834e-18,0.585,0.959,53.6793538220659,38.5818443650908,13.8969773959283,5.65164662801467,96.8533668974198,93.0232558139535,58.5365853658537,40
"opn1lw1","opn1lw1",35.7788125439703,-1.28140327936503,6.14195430221821e-18,1.51773832762114e-13,0.476,0.872,95.7374368610778,6.02988175618913,23.4295055308737,17.9184260277404,91.567023285085,37.2093023255814,47.5609756097561,65
"si:dkey-126g1.9","si:dkey-126g1.9",6.77339214921508,0.475546453527941,8.1622878837271e-17,2.0169829589478e-12,0.646,0.378,2.97083602065106,5.33728219323692,8.59702791468359,10.1884224682887,35.8086847073631,56.5891472868217,64.6341463414634,75
"gngt2b","gngt2b",338.324661287039,0.204195988601666,1.29442662805503e-16,3.19865764058677e-12,1,0.999,250.126912230923,283.962345668202,361.202439449325,458.006947799708,99.9370673379484,100,100,100
"es1","es1",104.199181869369,0.365305326735064,6.28279377889519e-15,1.55254117070279e-10,0.988,0.933,66.3468546420144,117.310499448858,120.095022872184,113.044350514418,92.825676526117,99.2248062015504,98.780487804878,90
"kera","kera",12.6334806378712,0.909583474583186,8.05728390791342e-14,1.99103542648449e-09,0.756,0.457,6.29174731211751,20.0826126975317,20.6447916499599,3.51477089187583,43.2347388294525,77.5193798449613,75.609756097561,35
"camk1ga","camk1ga",5.75795044806833,0.270509876430531,1.116667633509e-13,2.75939738916409e-09,0.561,0.545,4.86830038656134,4.804605620203,7.6921034758772,5.66679230963179,54.8772813089994,48.8372093023256,56.0975609756098,65
"si:dkey-28e7.3","si:dkey-28e7.3",3.11000271746201,0.301562662098691,2.74441111600794e-13,6.78171430876721e-09,0.573,0.327,1.78231278517238,3.75426258362543,4.4942748497571,2.40916065129314,31.5921963499056,46.5116279069767,57.3170731707317,30
"HIST2H2AB (1 of many).5","HIST2H2AB (1 of many).5",9.32500612467854,0.164745843140188,4.61321852152277e-13,1.13997242885349e-08,0.817,0.759,8.38155468211068,8.93159398656883,11.7508195836184,8.23605624641622,76.5261170547514,70.5426356589147,81.7073170731707,65
