"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","L","M","S","UV","pctL","pctM","pctS","pctUV"
"arr3a","arr3a",27.9524555527749,-1.7532321183372,6.6920934450255e-13,1.65368321120025e-08,0.4,0.948,53.6793538220659,38.5818443650908,13.8969773959283,5.65164662801467,96.8533668974198,93.0232558139535,58.5365853658537,40
"opn1sw1","opn1sw1",75.0094923376369,3.42300201162901,1.52333911008269e-12,3.76432327492533e-08,1,0.206,2.94445573082134,2.67079923259696,8.50849695028705,285.914217436842,20.3272498426683,21.7054263565891,23.1707317073171,100
"si:dkey-16p21.8","si:dkey-16p21.8",11.9887428556845,0.60284687106459,9.89619689358923e-12,2.44544921437483e-07,0.9,0.671,6.84917262799303,7.31099502331126,10.9299172389013,22.8648865325323,67.0862177470107,62.7906976744186,74.390243902439,90
"CT573282.1","CT573282.1",6.08546596163732,-1.25479265332257,3.51699599172268e-08,0.000869084879514591,0.1,0.779,16.6224457494675,1.0744451914302,5.80091858060876,0.844054325042809,85.7142857142857,10.8527131782946,31.7073170731707,10
"opn1lw1","opn1lw1",35.7788125439703,-1.66156203042329,3.1426431014063e-07,0.00776578536788511,0.65,0.857,95.7374368610778,6.02988175618913,23.4295055308737,17.9184260277404,91.567023285085,37.2093023255814,47.5609756097561,65
"tmx3","tmx3",4.14092781647778,0.436802086112256,1.12990446646792e-06,0.0279210692708887,0.75,0.362,2.36984014759411,2.99036421752577,2.93128418945449,8.27222271133675,35.6828193832599,39.5348837209302,41.4634146341463,75
"tmsb1","tmsb1",8.52699450496588,0.284166704264047,8.63291976812281e-06,0.213328080390083,0.85,0.612,5.4694565779285,7.52716794424786,7.49080247874853,13.6205510189386,60.4153555695406,65.8914728682171,68.2926829268293,85
"si:busm1-57f23.1","si:busm1-57f23.1",5.03925095044232,-1.13683535333844,1.18975161018294e-05,0.293999520392307,0.2,0.641,14.1516019104997,1.49044415463533,3.11511196929243,1.39984576734186,69.2888609188169,20.1550387596899,31.7073170731707,20
"ncaldb","ncaldb",20.5717897687589,-1.41556268884853,1.85147763026848e-05,0.457518637215645,0.6,0.817,27.1635352821457,18.6226747164211,30.6147804288969,5.88616864757198,82.1900566393958,79.8449612403101,74.390243902439,60
"gngt2b","gngt2b",338.324661287039,0.241906135227474,2.1016112810205e-05,0.519329163652976,1,0.999,250.126912230923,283.962345668202,361.202439449325,458.006947799708,99.9370673379484,100,100,100
"opn1lw2","opn1lw2",18.2495597680236,-1.29368775440663,5.58308510610023e-05,1,0.25,0.624,48.8417552878539,3.49678926867211,13.4747986382924,7.18489587727608,66.2051604782882,26.3565891472868,45.1219512195122,25
"efna1b","efna1b",10.4074231905793,0.5623974308973,6.48762972901347e-05,1,0.65,0.441,3.44354665422152,7.16318186078607,16.789506665115,14.2334575821944,41.2838263058527,55.0387596899225,80.4878048780488,65
"si:ch73-28h20.1","si:ch73-28h20.1",8.48901201660161,0.602488808295827,6.79866165447126e-05,1,0.95,0.483,4.2403612982545,7.12657395339373,6.95645278585022,15.632660028908,47.0106985525488,62.7906976744186,51.219512195122,95
"rx1","rx1",3.95494241060436,0.323547985640278,0.000118857581045119,1,0.7,0.333,1.98881028335173,3.75490363632353,3.4186813242758,6.65737439846639,31.529263687854,48.062015503876,43.9024390243902,70
"rcvrn2","rcvrn2",33.9137510473767,-0.920669317515675,0.000386075348067895,1,0.85,0.966,40.4998606492486,44.8861007667605,32.734310328274,17.5347324452236,96.4757709251101,97.6744186046512,96.3414634146341,85
"mt-co2","mt-co2",318.344615608683,-0.264382564903903,0.00048970899611412,1,1,1,341.936505986668,326.497543413819,265.267198753439,339.677214280806,100,100,100,100
"si:dkey-126g1.9","si:dkey-126g1.9",6.77339214921508,0.408500011803318,0.000720494991107607,1,0.75,0.386,2.97083602065106,5.33728219323692,8.59702791468359,10.1884224682887,35.8086847073631,56.5891472868217,64.6341463414634,75
"si:ch211-81a5.8","si:ch211-81a5.8",6.73421347881218,-1.01412298111119,0.000840692142242781,1,0.2,0.486,9.65564367454182,4.81114967462983,11.1741909094117,1.29586965666539,49.4021397105098,33.3333333333333,56.0975609756098,20
"slc25a5","slc25a5",28.6541306010505,0.0453804907604374,0.000909296933768755,1,1,0.982,24.9905427544417,25.3269664164757,27.4030986325636,36.895914600721,98.1120201384519,98.4496124031008,98.780487804878,100
"rps20","rps20",14.5835495364717,0.125989695280495,0.00129735249335465,1,0.95,0.843,10.6966805618071,12.5497914829689,16.5631920077566,18.524534093354,84.2039018250472,80.6201550387597,92.6829268292683,95
"thrb","thrb",1.52864319276104,-0.706940502692281,0.00138759804660629,1,0,0.519,4.89581706436118,0.429715162363731,0.789040544319233,0,57.5833857772184,6.97674418604651,12.1951219512195,0
"ppdpfb","ppdpfb",7.73143526994314,0.243615801664977,0.00146128595497489,1,0.85,0.567,6.11657330575572,6.09560596720613,4.81761284462671,13.895948962184,57.1428571428571,56.5891472868217,48.780487804878,85
"si:ch1073-303d10.1","si:ch1073-303d10.1",8.92621420669312,-0.827638080030771,0.00146668765265297,1,0.5,0.788,12.6117172826723,9.66775750060365,8.89789093330602,4.52749111019055,79.8615481434865,70.5426356589147,70.7317073170732,50
"rcvrn3","rcvrn3",3.15794228796582,-0.72715815385829,0.00177642128864472,1,0.1,0.524,5.65590295102046,3.99827462247462,2.65555059857709,0.322040979791088,54.6884833228446,38.7596899224806,30.4878048780488,10
"rpl22","rpl22",4.89166008878455,0.163279212359608,0.00190221314464518,1,0.75,0.532,3.62199338127416,3.35502255411002,4.93395891783329,7.65566550192074,53.5556954059157,44.1860465116279,60.9756097560976,75
"rps19","rps19",11.9371337823705,0.115792264932846,0.00196470287973236,1,0.8,0.81,9.04771286073859,10.9279851144861,13.0561384534372,14.7166987008202,81.1202013845186,75.968992248062,86.5853658536585,80
"rpl32","rpl32",12.7061033538415,0.101696897904759,0.00235060513307431,1,0.85,0.851,10.2891542872694,10.7457610005834,13.2868889548417,16.5026091726716,85.5884203901825,76.7441860465116,87.8048780487805,85
"romo1","romo1",3.61296339098111,0.161143886311027,0.00284413128276484,1,0.7,0.428,2.65207417549784,2.54678545451884,3.3206113413379,5.93238259256986,43.3606041535557,37.2093023255814,41.4634146341463,70
"rps15a","rps15a",9.96186909156496,0.111858000445524,0.00300642005165,1,0.9,0.764,7.41223832704017,9.0431046832723,10.4406277271619,12.9515056287854,75.8967904342354,77.5193798449613,84.1463414634146,90
"rps12","rps12",7.6133864404578,0.129658830136578,0.00347543815692115,1,0.8,0.705,6.16753485957274,7.74385915664045,5.81528015804173,10.7268715875763,71.2397734424166,66.6666666666667,62.1951219512195,80
"ppdpfa","ppdpfa",24.8095997965435,-0.770193951903164,0.00370347526763105,1,0.8,0.935,28.1846504563821,23.0078878819871,34.1309755231945,13.9148853246104,93.7067337948395,88.3720930232558,97.5609756097561,80
"mdka","mdka",23.2838067000601,0.445592899198944,0.0040340481753979,1,0.85,0.783,16.103701043169,20.422812658031,19.4720819923197,37.1366311067205,78.2252989301447,79.8449612403101,76.8292682926829,85
"rps24","rps24",5.49872238205396,0.159183901393961,0.00447604217152611,1,0.6,0.542,3.89833202092051,5.04564544842524,5.3222862608033,7.72862579806679,53.4927627438641,55.8139534883721,65.8536585365854,60
"arl3l1","arl3l1",5.25184324874325,-0.643106234488861,0.00471806743571422,1,0.3,0.705,7.32976798681754,5.36519758234917,6.08064806925291,2.2317593565534,71.8061674008811,56.5891472868217,67.0731707317073,30
"eno1a","eno1a",4.2926085005048,0.212156154639368,0.00585491367353387,1,0.65,0.45,3.26929436810862,3.96559278687054,3.18478121250546,6.75076563453459,45.1227186910006,47.2868217054264,39.0243902439024,65
"ndufa11","ndufa11",3.82874607496444,0.156653810045377,0.00590492018055511,1,0.7,0.47,3.04980320370459,2.95463989708779,3.34170138126596,5.96883981779941,48.080553807426,37.984496124031,40.2439024390244,70
"camk1gb","camk1gb",14.7923926658214,0.172842812839411,0.00590958633744714,1,0.9,0.802,11.7951867201387,12.1347169997975,14.2435543139736,20.9961126293758,79.7356828193833,82.9457364341085,84.1463414634146,90
"rps2","rps2",9.18514115609884,0.101324397592423,0.00592389439493499,1,0.85,0.744,6.96253652899283,8.10994907759133,10.2614007566458,11.4066782611654,74.3864065449969,72.8682170542636,78.0487804878049,85
"pgam1a","pgam1a",2.47926275642893,0.203885734709795,0.0064545491310694,1,0.5,0.327,1.86178901179993,1.8810587226416,2.32493078382245,3.84927250745174,32.9137822529893,27.1317829457364,36.5853658536585,50
"rpl11","rpl11",10.2724040581607,0.0581231992500475,0.00647212405751646,1,1,0.792,8.36910919600199,9.92591277721209,9.34276179464666,13.4518324647819,79.2322215229704,79.8449612403101,78.0487804878049,100
"ndufa6","ndufa6",5.61005403170827,0.119646472905303,0.0066234262703684,1,0.8,0.612,4.66611482814238,4.49458202584961,5.01198194551949,8.26753732732159,61.9886721208307,51.1627906976744,60.9756097560976,80
"guca1c","guca1c",24.3090383698564,-0.829683313686221,0.00709794830601961,1,0.8,0.939,28.7204555823515,28.4871645935886,25.8614116515628,14.1671216519227,94.0843297671492,95.3488372093023,89.0243902439024,80
