"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","L","M","S","UV","pctL","pctM","pctS","pctUV"
"opn1sw1","opn1sw1",75.0094923376369,-2.71452737380124,2.79469790584746e-08,0.000690597799513967,0.232,1,2.94445573082134,2.67079923259696,8.50849695028705,285.914217436842,20.3272498426683,21.7054263565891,23.1707317073171,100
"kera","kera",12.6334806378712,1.45501619316894,9.20815629408039e-07,0.022754275018302,0.756,0.35,6.29174731211751,20.0826126975317,20.6447916499599,3.51477089187583,43.2347388294525,77.5193798449613,75.609756097561,35
"ncaldb","ncaldb",20.5717897687589,1.61877504843004,4.83606374684471e-06,0.11950397124828,0.744,0.6,27.1635352821457,18.6226747164211,30.6147804288969,5.88616864757198,82.1900566393958,79.8449612403101,74.390243902439,60
"ppdpfa","ppdpfa",24.8095997965435,0.88462944996769,1.25453056999101e-05,0.31000704915048,0.976,0.8,28.1846504563821,23.0078878819871,34.1309755231945,13.9148853246104,93.7067337948395,88.3720930232558,97.5609756097561,80
"si:ch211-81a5.8","si:ch211-81a5.8",6.73421347881218,1.17301057872197,1.56005881816307e-05,0.385506134556277,0.561,0.2,9.65564367454182,4.81114967462983,11.1741909094117,1.29586965666539,49.4021397105098,33.3333333333333,56.0975609756098,20
"rcvrn2","rcvrn2",33.9137510473767,0.757704997590386,5.16850402111525e-05,1,0.963,0.85,40.4998606492486,44.8861007667605,32.734310328274,17.5347324452236,96.4757709251101,97.6744186046512,96.3414634146341,85
"ppdpfb","ppdpfb",7.73143526994314,-0.504581001068649,9.54339013721444e-05,1,0.488,0.85,6.11657330575572,6.09560596720613,4.81761284462671,13.895948962184,57.1428571428571,56.5891472868217,48.780487804878,85
"arr3b","arr3b",23.785034775639,0.947717149429825,0.000288611664685726,1,1,1,0.597785375728771,0.766422220476441,62.4161356810414,31.3597958253093,9.06230333543109,10.077519379845,100,100
"si:dkey-97a13.12","si:dkey-97a13.12",23.5563221537803,0.925853143834102,0.000329822683279091,1,0.902,0.8,22.4763479382347,26.2414094220918,30.5561008444451,14.9514304103497,84.8961611076149,93.7984496124031,90.2439024390244,80
"prph2a","prph2a",12.0470165946325,0.763764747773899,0.000388970032850604,1,0.841,0.8,11.9151984002771,13.1684614589009,15.3796035732726,7.7248029460792,82.2529893014475,75.1937984496124,84.1463414634146,80
"slc38a5a","slc38a5a",3.10810773692271,0.633769009981684,0.000503304798038715,1,0.524,0.1,3.61285855248825,3.16957097719091,4.84256216323999,0.807439254771676,42.5424795468848,33.3333333333333,52.4390243902439,10
"guca1c","guca1c",24.3090383698564,0.76013497972332,0.000534305320880734,1,0.89,0.8,28.7204555823515,28.4871645935886,25.8614116515628,14.1671216519227,94.0843297671492,95.3488372093023,89.0243902439024,80
"tmx3","tmx3",4.14092781647778,-0.440853009815284,0.00075331510513831,1,0.415,0.75,2.36984014759411,2.99036421752577,2.93128418945449,8.27222271133675,35.6828193832599,39.5348837209302,41.4634146341463,75
"si:ch73-141c7.1","si:ch73-141c7.1",4.77738615973625,0.649762434957421,0.000975923032819895,1,0.585,0.25,5.38092351063971,4.87869007976517,7.25232798559162,1.59760306294848,56.5764631843927,51.1627906976744,58.5365853658537,25
"atp1b2b","atp1b2b",11.4105744313465,0.639634129434082,0.0018946799723761,1,0.805,0.7,10.8402738477471,12.1293766886906,15.1521042297062,7.52054295924227,77.9735682819383,82.1705426356589,80.4878048780488,70
"atp1b2a","atp1b2a",2.62289434452844,0.521851093777698,0.00207837135061438,1,0.537,0.1,3.30534851960213,2.78510838773463,3.84621227590207,0.554908194874944,49.2762743864065,40.3100775193798,53.6585365853659,10
"si:ch1073-469d17.2","si:ch1073-469d17.2",7.87351488431309,0.628376344402163,0.00292853877307323,1,0.671,0.6,10.3491598712661,7.69689121978715,9.13464578869956,4.31336265749953,70.1699181875393,60.4651162790698,67.0731707317073,60
"si:ch1073-303d10.1","si:ch1073-303d10.1",8.92621420669312,0.567984037605939,0.0030004481754834,1,0.707,0.5,12.6117172826723,9.66775750060365,8.89789093330602,4.52749111019055,79.8615481434865,70.5426356589147,70.7317073170732,50
"cnga3a","cnga3a",11.1578569452166,0.800030925758293,0.00301577396223352,1,0.646,0.7,12.2453386842026,13.4063168737225,13.1080443916369,5.87172783130428,70.9880427942102,80.6201550387597,64.6341463414634,70
"grk7a","grk7a",5.31549662877491,0.534923175345051,0.00312839219992067,1,0.598,0.3,6.54690395653353,5.42692643598836,6.49435400093574,2.79380212164202,67.0862177470107,53.4883720930233,59.7560975609756,30
"hmgb1a","hmgb1a",2.94132366139715,0.622410629468167,0.00333961591120349,1,0.5,0.15,2.69195796856707,2.63017701613331,5.27625636197411,1.16690329891411,36.3750786658276,33.3333333333333,50,15
"arl3l1","arl3l1",5.25184324874325,0.48791713296912,0.00355779433993433,1,0.671,0.3,7.32976798681754,5.36519758234917,6.08064806925291,2.2317593565534,71.8061674008811,56.5891472868217,67.0731707317073,30
"slc24a2","slc24a2",10.3083981968005,0.569247917886126,0.00406011321963392,1,0.805,0.65,10.8734299967587,9.88464800209192,13.0713400757274,7.40417471262415,79.2322215229704,74.4186046511628,80.4878048780488,65
"si:dkey-16p21.8","si:dkey-16p21.8",11.9887428556845,-0.411904280389185,0.00439019590156322,1,0.744,0.9,6.84917262799303,7.31099502331126,10.9299172389013,22.8648865325323,67.0862177470107,62.7906976744186,74.390243902439,90
"arg2","arg2",12.2221147240486,0.791514660726801,0.00445091333882597,1,0.72,0.65,12.9798988949417,13.0790635900592,14.8558653990034,7.97363101219026,77.1554436752675,73.6434108527132,71.9512195121951,65
"cirbpb","cirbpb",5.33636448728596,0.525663849932254,0.00459945742134329,1,0.646,0.45,4.86047870450238,5.52134959074089,7.52830305811079,3.43532659578978,58.1497797356828,52.7131782945737,64.6341463414634,45
"eml1","eml1",3.18943490998907,0.684627427215175,0.0051575664490675,1,0.415,0.15,3.913437790163,3.17711079462858,4.76831235549756,0.898878699667138,43.5494021397105,34.8837209302326,41.4634146341463,15
"slc1a2a","slc1a2a",4.44885773711332,0.598345001782547,0.00542357849196434,1,0.463,0.15,5.92173710507021,5.25438106867157,5.31404458638664,1.30526818832486,44.8709880427942,41.0852713178295,46.3414634146341,15
"tpt1","tpt1",4.06079225113881,0.47174427372352,0.00548747392385863,1,0.659,0.35,4.01390121682852,4.18527462652702,5.58428369681454,2.45970946438515,56.0730018879799,46.5116279069767,65.8536585365854,35
"pde6c","pde6c",17.1532506608374,0.504511474927028,0.00605633729090364,1,0.854,0.85,19.6928841970825,18.5809123869178,18.5441885286058,11.7950175307434,92.8886091881687,92.2480620155039,85.3658536585366,85
"atp1a3b","atp1a3b",5.77558059476442,0.478035800943,0.00661459432703549,1,0.646,0.45,6.75330089363995,5.95971017901179,7.08025445551911,3.30905685088683,68.4078036500944,60.4651162790698,64.6341463414634,45
"itm2cb","itm2cb",3.46552591236791,0.540621196459689,0.00672815933417885,1,0.488,0.2,4.24433141440446,3.87346761423349,4.53359637339497,1.21070824743873,51.6047828823159,42.6356589147287,48.780487804878,20
"cdk5r2b","cdk5r2b",4.98541187784557,0.458159159133213,0.00742679136460651,1,0.634,0.3,6.61761271472174,4.89130297089417,5.91243225320532,2.52029957256106,70.6104468219006,55.0387596899225,63.4146341463415,30
"opn1sw2","opn1sw2",121.501076687962,0.95883361759068,0.0106901137513646,1,0.988,0.6,3.85491250485091,9.91389434856209,303.188871596713,169.04662830172,25.5506607929515,37.984496124031,98.780487804878,60
"higd1a","higd1a",4.67136974201223,0.493915151617674,0.0117366236998133,1,0.598,0.45,4.0508293969641,4.06734588650743,7.2502343819569,3.31706930262052,48.7098804279421,43.4108527131783,59.7560975609756,45
"hsp90aa1.2","hsp90aa1.2",7.47667097166068,-0.342050453188269,0.011873363821595,1,0.585,0.8,7.91621820361572,7.61495473766805,4.66188074795764,9.7136301974013,72.2466960352423,65.8914728682171,58.5365853658537,80
"slc25a33","slc25a33",2.40553388927195,0.496943927279835,0.0120738700357969,1,0.402,0.15,2.81351587861351,2.4701809426499,3.70826207051106,0.630176665313347,39.332913782253,31.7829457364341,40.2439024390244,15
"lrit1b","lrit1b",3.86413717173792,0.445311016655364,0.0123660759014079,1,0.512,0.2,5.21094303357243,4.10899628288412,4.09263404472515,2.04397532576999,59.9748269351794,44.9612403100775,51.219512195122,20
"rbp4l","rbp4l",188.470061082728,0.532676824718677,0.0171966089355629,1,1,1,193.450648567479,172.701135641175,215.762744852204,171.965715270056,99.8112020138452,100,100,100
"PDE6H","PDE6H",2.63864354053788,0.534923175345051,0.0178880351212594,1,0.39,0.1,2.89223288790265,1.59522301264224,5.20392411244656,0.863194149160056,34.4241661422278,18.6046511627907,39.0243902439024,10
"kcnb2","kcnb2",4.53357250237449,0.386312675893408,0.0189737042121318,1,0.646,0.4,4.93614403563699,4.67546944720991,5.71155605842726,2.8111204682238,59.1567023285085,57.3643410852713,64.6341463414634,40
"ndufb3","ndufb3",5.30145852095264,-0.298289945160413,0.0205434700924131,1,0.549,0.75,5.03903990978363,4.2993893860168,4.15122821671204,7.7161765712981,64.4430459408433,52.7131782945737,54.8780487804878,75
"tegt","tegt",4.29019833868133,0.413562318340784,0.0207856870828649,1,0.585,0.3,3.86371179792711,4.440422841261,5.87999676207894,2.97666195345827,56.3876651982379,51.1627906976744,58.5365853658537,30
"apoeb","apoeb",3.64773362539532,0.395161232969893,0.0244168717145899,1,0.451,0.15,5.07857507778741,4.41609556938569,4.05207669464323,1.04418715976495,43.9899307740717,39.5348837209302,45.1219512195122,15
"prlra","prlra",2.14177527210578,0.388319701153176,0.0247313968262549,1,0.451,0.1,2.54565020826992,2.43069282427055,2.9460759406123,0.64468211527035,40.8432976714915,36.4341085271318,45.1219512195122,10
"appa","appa",2.42715046861321,0.395161232969893,0.0279597742243001,1,0.427,0.15,3.17540067774478,2.79873575251267,2.97261792300806,0.761847521187335,39.4587791063562,32.5581395348837,42.6829268292683,15
"ubl3a","ubl3a",2.0460171817129,0.428239032756717,0.0291283825273162,1,0.415,0.15,1.84967969165058,1.82708545593574,3.34538614662235,1.16191743264294,31.3404657016992,27.906976744186,41.4634146341463,15
"arr3a","arr3a",27.9524555527749,0.633769009981684,0.0291950935561931,1,0.585,0.4,53.6793538220659,38.5818443650908,13.8969773959283,5.65164662801467,96.8533668974198,93.0232558139535,58.5365853658537,40
"rpl23","rpl23",5.24940020057092,0.358299639665734,0.0312006678223065,1,0.634,0.45,5.03849291342675,7.00346783707996,5.82447227326531,3.13116777851169,63.1214600377596,65.8914728682171,63.4146341463415,45
"ckbb","ckbb",80.0689937749554,0.299426856063841,0.0337598470841094,1,1,0.95,96.0734484900612,77.5358248269208,76.5485580022142,70.1181437806256,99.8112020138452,100,100,95
"ric8a","ric8a",3.56134600843699,0.355771193312375,0.0356543237072243,1,0.476,0.25,4.13464519238008,3.86108182808337,4.40340186066189,1.84625515262263,56.0730018879799,47.2868217054264,47.5609756097561,25
"hmgb2a","hmgb2a",11.1254456520782,0.425508389359184,0.0375569715324858,1,0.854,0.8,10.0012731091637,10.4070300751907,14.0671895506611,10.0262898732973,81.6236626809314,76.7441860465116,85.3658536585366,80
"rtn4a","rtn4a",6.2058911533773,0.344778892869887,0.0390510476948868,1,0.72,0.55,6.58774199214462,7.62158992771069,6.48448084913469,4.12975184451919,72.8130899937067,70.5426356589147,71.9512195121951,55
"six7","six7",2.33441693688782,0.434839716788069,0.0420224144484124,1,0.329,0.05,3.45461469663177,2.79146595798092,2.86737184630184,0.224215246636771,41.2838263058527,31.7829457364341,32.9268292682927,5
"CT956101.1","CT956101.1",1.77237111197444,0.380772495517793,0.0433812340202025,1,0.354,0.1,1.60139687404574,1.43125244382099,3.3505980418407,0.706237088190328,21.9634990560101,13.953488372093,35.3658536585366,10
"camkk1b","camkk1b",2.36222092280877,0.553385238184787,0.0434916847732789,1,0.293,0.15,2.91585599122396,2.02475136174152,3.73992852266414,0.768347815605465,29.137822529893,21.7054263565891,29.2682926829268,15
"pde6d","pde6d",2.65770848934732,0.353743823129874,0.0463809905480849,1,0.402,0.25,3.21111055318418,2.54987060046241,3.44846441110651,1.42138839263619,44.6192573945878,34.8837209302326,40.2439024390244,25
"tma7","tma7",3.12197109174731,0.317056681131685,0.0464903054878154,1,0.573,0.25,2.97414213251913,2.56995879566874,4.66260294461756,2.28118049418381,45.6261799874135,39.5348837209302,57.3170731707317,25
"CT573282.1","CT573282.1",6.08546596163732,0.511800757924197,0.0466284327222898,1,0.317,0.1,16.6224457494675,1.0744451914302,5.80091858060876,0.844054325042809,85.7142857142857,10.8527131782946,31.7073170731707,10
"IDH2","IDH2",4.43540639319898,0.343632948568336,0.0478676721606775,1,0.585,0.4,4.47865731669924,4.14502066222434,6.16892681802426,2.94902077584808,57.5833857772184,52.7131782945737,58.5365853658537,40
"atpif1b","atpif1b",6.20121072813618,0.320429365610324,0.0481014214748342,1,0.695,0.6,6.37107161399469,6.2648720802909,7.50959124767962,4.65930797057952,70.1699181875393,61.2403100775194,69.5121951219512,60
"eno1a","eno1a",4.2926085005048,-0.297336807677612,0.0488306906409222,1,0.39,0.65,3.26929436810862,3.96559278687054,3.18478121250546,6.75076563453459,45.1227186910006,47.2868217054264,39.0243902439024,65
"tmsb1","tmsb1",8.52699450496588,-0.193984669093992,0.049880499623773,1,0.683,0.85,5.4694565779285,7.52716794424786,7.49080247874853,13.6205510189386,60.4153555695406,65.8914728682171,68.2926829268293,85
"inaa","inaa",11.2384500904965,0.355636522246251,0.0532259628262526,1,0.793,0.75,13.4051122517738,13.2525477875473,10.3462398709301,7.94990045173492,88.2315921963499,83.7209302325581,79.2682926829268,75
"eef1a1l2","eef1a1l2",2.58213624392324,0.339950500997538,0.0557234797775214,1,0.451,0.15,2.69312723184619,2.63286716886022,3.76038671389042,1.24216386109614,41.9760855884204,34.1085271317829,45.1219512195122,15
"rps12","rps12",7.6133864404578,-0.240915721060007,0.0562839508207498,1,0.622,0.8,6.16753485957274,7.74385915664045,5.81528015804173,10.7268715875763,71.2397734424166,66.6666666666667,62.1951219512195,80
"hnrnpaba","hnrnpaba",2.70931793818014,0.341551782364511,0.0576471255743303,1,0.415,0.25,2.55542266662455,2.77080652207632,3.72567857398784,1.78536399003185,42.9830081812461,40.3100775193798,41.4634146341463,25
"lsm7","lsm7",1.9920628528572,0.32871613356174,0.0593968066189602,1,0.415,0.15,1.98958614858348,2.17266434655187,2.98146297743153,0.824537938861927,35.8716173694147,32.5581395348837,41.4634146341463,15
"sncb","sncb",1.64850194015247,0.388677675024906,0.0602566537992219,1,0.329,0.05,2.13681989558956,1.63844405620511,2.419382786451,0.399361022364217,31.4663310258024,22.4806201550388,32.9268292682927,5
"sh3gl2a","sh3gl2a",4.27582600123838,0.369599194919668,0.0603862814272031,1,0.488,0.45,5.34992386736449,4.06813206799465,4.73023748775846,2.95501058183591,59.9748269351794,49.6124031007752,48.780487804878,45
"si:dkey-28e7.3","si:dkey-28e7.3",3.11000271746201,0.319403549141501,0.0634575639541493,1,0.573,0.3,1.78231278517238,3.75426258362543,4.4942748497571,2.40916065129314,31.5921963499056,46.5116279069767,57.3170731707317,30
"rpl17","rpl17",3.97691134588699,0.311779624030841,0.0646797794929421,1,0.598,0.45,3.5973498970906,3.98764057003246,4.96074009498776,3.36191482143713,52.6117054751416,48.8372093023256,59.7560975609756,45
"HIST2H2AB (1 of many).5","HIST2H2AB (1 of many).5",9.32500612467854,0.323614081677844,0.0647004476935015,1,0.817,0.65,8.38155468211068,8.93159398656883,11.7508195836184,8.23605624641622,76.5261170547514,70.5426356589147,81.7073170731707,65
