"","Row.names","baseMean","avg_logFC","p_val","p_val_adj","pct.1","pct.2","L","M1","M3","M4","S","UV","pctL","pctM1","pctM3","pctM4","pctS","pctUV"
"ncaldb","ncaldb",17.6153292372757,-1.23593515502889,2.91001847393922e-18,7.19094665095121e-14,0.6,0.814,27.1635352821457,10.4924141301978,24.8595869469485,6.67548998789308,30.6147804288969,5.88616864757198,82.1900566393958,80.3571428571429,79.4520547945205,60,74.390243902439,60
"cnga3a","cnga3a",10.1918126372376,-0.869745010620012,7.43258873942872e-15,1.83666700340023e-10,0.429,0.714,12.2453386842026,11.2497750576305,15.0606503216835,3.61533953696757,13.1080443916369,5.87172783130428,70.9880427942102,78.5714285714286,82.1917808219178,42.8571428571429,64.6341463414634,70
"si:ch1073-303d10.1","si:ch1073-303d10.1",8.29166588375806,-0.717754508940637,1.61766342109958e-12,3.99740807987917e-08,0.543,0.785,12.6117172826723,8.28740329261327,10.726659358788,4.69883332497822,8.89789093330602,4.52749111019055,79.8615481434865,69.6428571428571,71.2328767123288,54.2857142857143,70.7317073170732,50
"CR383676.1","CR383676.1",846.411323007015,0.545021969139637,4.69248820244913e-12,1.15956075970721e-07,1,0.999,806.826331224148,819.315797867333,789.09073233392,1257.05688893461,668.953314443276,737.2248732388,99.8741346758968,100,100,100,100,100
"si:dkey-97a13.12","si:dkey-97a13.12",21.8362867930267,-0.729050654056216,5.7370519953285e-11,1.41768291856563e-06,0.757,0.857,22.4763479382347,24.8068513422605,27.3418923326473,10.8850978902231,30.5561008444451,14.9514304103497,84.8961611076149,100,89.041095890411,75.7142857142857,90.2439024390244,80
"rbp4l","rbp4l",172.49279818903,-0.617820430772271,8.63742959111679e-11,2.13439522626087e-06,1,0.998,193.450648567479,134.367728049386,202.107585300629,117.302367094425,215.762744852204,171.965715270056,99.8112020138452,100,100,100,100,100
"gnb3b","gnb3b",84.3801672292054,-0.514202283149353,2.80843040756563e-10,6.93991238013543e-06,1,0.995,81.3053940561958,99.5700092820095,82.8625032153118,54.0820277997027,86.5476016011697,101.913467420843,99.5594713656388,98.2142857142857,100,100,98.780487804878,100
"si:ch1073-469d17.2","si:ch1073-469d17.2",7.03011126661242,-0.769503523592625,4.50127642324957e-10,1.1123104169492e-05,0.486,0.692,10.3491598712661,4.15760805762898,10.4119577551414,3.81393346943899,9.13464578869956,4.31336265749953,70.1699181875393,50,68.4931506849315,48.5714285714286,67.0731707317073,60
"gnat2","gnat2",41.8483053986607,-0.495223776211344,1.61157878661923e-09,3.98237233961478e-05,0.957,0.977,44.0887594546125,46.5864174665049,52.5529355304671,27.9831675940875,42.6215619694591,37.2569903768331,97.608558842039,100,97.2602739726027,95.7142857142857,100,95
"arg2","arg2",11.0401476123919,-0.656632480268514,1.75288019526837e-09,4.33154225052766e-05,0.671,0.765,12.9798988949417,8.31479124942611,16.7338478513668,5.3828512674232,14.8558653990034,7.97363101219026,77.1554436752675,67.8571428571429,78.0821917808219,67.1428571428571,71.9512195121951,65
"guca1c","guca1c",23.6427459501682,-0.570544858467613,2.22559161224142e-09,5.49965943300976e-05,0.871,0.938,28.7204555823515,22.204603473806,33.3066635347917,17.5962198065747,25.8614116515628,14.1671216519227,94.0843297671492,94.6428571428571,95.8904109589041,87.1428571428571,89.0243902439024,80
"prph2a","prph2a",11.0757335176213,-0.563701375813938,2.97443055929542e-09,7.3501153550749e-05,0.657,0.818,11.9151984002771,8.9173620076982,16.4295788461249,6.08785533227583,15.3796035732726,7.7248029460792,82.2529893014475,76.7857142857143,73.972602739726,65.7142857142857,84.1463414634146,80
"rcvrn2","rcvrn2",34.7656739979271,-0.481806220984478,1.15731756615207e-08,0.000285984743771837,0.929,0.964,40.4998606492486,53.1660677695415,38.5343452577778,26.1247275374972,32.734310328274,17.5347324452236,96.4757709251101,98.2142857142857,97.2602739726027,92.8571428571429,96.3414634146341,85
"kera","kera",12.1601913080725,-0.610123844748271,2.90389500394843e-08,0.000717581494425698,0.314,0.47,6.29174731211751,20.2879473688708,19.9250956893812,2.29679493622979,20.6447916499599,3.51477089187583,43.2347388294525,96.4285714285714,63.013698630137,31.4285714285714,75.609756097561,35
"ppdpfa","ppdpfa",22.9520082869417,-0.627276923974521,3.5399890202184e-08,0.00087476668678617,0.914,0.934,28.1846504563821,19.4454164753308,25.740742659696,16.2953792824362,34.1309755231945,13.9148853246104,93.7067337948395,89.2857142857143,87.6712328767123,91.4285714285714,97.5609756097561,80
"nme2a","nme2a",15.5722662403167,-0.440256250650335,4.07097635674618e-07,0.0100597896751555,0.771,0.906,16.6709590011346,13.8648975572901,11.7229736496335,10.6654468355297,18.9521567551501,21.557163643162,91.1894273127753,91.0714285714286,75.3424657534247,77.1428571428572,91.4634146341463,95
"nat16","nat16",2.80827133347251,0.40354387793027,4.96397071293035e-07,0.0122664680287222,0.471,0.274,1.70958865169304,1.79001340188764,2.02127844014119,4.12364273283362,2.6777443088879,4.52736046539165,27.1239773442417,25,24.6575342465753,47.1428571428571,35.3658536585366,30
"gngt2b","gngt2b",302.34585329993,-0.498240423133265,6.21808871437562e-07,0.0153655190220936,1,0.999,250.126912230923,275.935069623593,290.120256058586,178.683494637446,361.202439449325,458.006947799708,99.9370673379484,100,100,100,100,100
"mt-cyb","mt-cyb",171.366438046046,0.180124206462594,8.84626677058487e-07,0.0218600098167923,1,0.998,183.606209881503,175.043438187476,152.277743662172,222.804367397021,134.111561422942,160.355307725159,99.8741346758968,100,100,100,98.780487804878,100
"pdcb","pdcb",21.4596849936014,-0.412166647731204,9.19550255770059e-07,0.0227230063703339,0.843,0.928,22.9136826809419,24.185505240674,22.8055539150122,15.2420615094907,19.898956703189,23.7123499123009,92.8886091881687,94.6428571428571,95.8904109589041,84.2857142857143,89.0243902439024,85
"itm2cb","itm2cb",3.19171967545015,-0.417378256343813,1.2174628070895e-06,0.0300847234259886,0.243,0.505,4.24433141440446,3.44462955713966,4.20243927446985,1.51461318585324,4.53359637339497,1.21070824743873,51.6047828823159,37.5,46.5753424657534,24.2857142857143,48.780487804878,20
